id,person,year,title,kind,evidenceStatus,sourceUrl,note,publicationDecision,decisionReason,decisionOn,timCoauthor,awardId
candidate-001,Advait Bhat,2023,CHI Best Paper Honorable Mention — Co-writing with Opinionated Language Models Affects Users’ Views,paper,institution-confirmed,https://tech.cornell.edu/news/writing-with-ai-help-can-shift-your-opinions/,"Before UW lab affiliation; coauthors include Maurice Jakesch, Daniel Buschek, Lior Zalmanson and Mor Naaman.",excluded,Tim Althoff is not a coauthor of the awarded paper; excluded by maintainer instruction.,2026-09-09,False,
candidate-002,Advait Bhat,2023,IUI Best Paper Honorable Mention — Interacting with Next-Phrase Suggestions,paper,organizer-confirmed,https://sigai.acm.org/static/aimatters/9-3/AIMatters-9-3-04-Dennis.pdf,Conference report p.2 confirms the exact category. Before UW lab affiliation.,excluded,Tim Althoff is not a coauthor of the awarded paper; excluded by maintainer instruction.,2026-09-09,False,
candidate-003,Advait Bhat,2023,Gary Marsden Travel Award,travel,personal-source,https://advaitmb.com/cv/cv.pdf,,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2023-advaitbhat-gary-marsden-travel-award
candidate-004,Antonia Saravanou,2021,ICLR Outstanding Reviewer,service,personal-source,https://antonia42.github.io/,Personal site identifies outstanding-reviewer recognition; conference list: https://iclr.cc/Conferences/2021/Reviewers .,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2021-antoniasaravanou-iclr-outstanding-reviewer
candidate-005,Antonia Saravanou,2018,NeurIPS Top Reviewer,service,personal-source,https://antonia42.github.io/,Institutional personal page also corroborates: https://cgi.di.uoa.gr/~antoniasar/ .,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2018-antoniasaravanou-neurips-top-reviewer
candidate-006,Ashish Sharma,2024,ACM Doctoral Dissertation Award,dissertation,institution-confirmed,https://news.cs.washington.edu/2025/06/04/allen-school-ph-d-graduates-ashish-sharma-and-sewon-min-recognized-with-acm-doctoral-dissertation-awards/,"Award cycle 2024; announced in 2025. Use 2024, not announcement year. Sewon Min is the honorable mention recipient in this ACM announcement.",applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2024-ashishsharma-acm-doctoral-dissertation-award
candidate-007,Ashish Sharma,2025,ACL Computational Linguistics Doctoral Dissertation Award — Honorable Mention,dissertation,organizer-confirmed,https://www.aclweb.org/aclwiki/ACL_Computational_Linguistics_Doctoral_Dissertation_Award,Distinct from ACM award; ACL overall winner is Sewon Min.,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2025-ashishsharma-acl-computational-linguistics-doctoral-dissertation-award-honorable-mention
candidate-008,Ashish Sharma,2024,William Chan Memorial Dissertation Award,dissertation,institution-confirmed,https://news.cs.washington.edu/2025/06/04/allen-school-ph-d-graduates-ashish-sharma-and-sewon-min-recognized-with-acm-doctoral-dissertation-awards/,Year supplied by Ashish’s personal site; UW confirms award.,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2024-ashishsharma-william-chan-memorial-dissertation-award
candidate-009,Ashish Sharma,2023,J.P. Morgan AI Research PhD Fellowship,fellowship,personal-source,https://ash-shar.github.io/,Personal news dates 2023; UW ACM-award announcement corroborates fellowship.,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2023-ashishsharma-j-p-morgan-ai-research-phd-fellowship
candidate-010,Ashish Sharma,2019,"Student Par-Excellence Award, IIT Kharagpur CSE",student,personal-source,https://ash-shar.github.io/cv/,Before UW lab affiliation.,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2019-ashishsharma-student-par-excellence-award-iit-kharagpur-cse
